"time in sec since January 1, 1970, 00:00:00 (UTC)",heading (degrees),roll (degrees),pitch (degrees),Gx (m/s2),Gy (m/s2),Gz (m/s2),ax (m/s2),ay (m/s2),az (m/s2),gyroscope x (deg/sec),gyroscope y (deg/sec),gyroscope z (deg/sec),magnetometer x (micro-Teslas),magnetometer y (micro-Teslas),magnetometer z (micro-Teslas),temperature celcius,quaternion x,quaternion y,quaternion z,quaternion w,heading (deg),roll (deg),pitch (deg)
1563146667.862715,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.01,-0.16,0.0011111111111111111,0.0,0.0022222222222222222,-13.75,-5.5625,-46.6875,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.902176,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.01,-0.2,0.0011111111111111111,-0.0011111111111111111,0.0,-14.875,-6.375,-45.875,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.940575,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.01,-0.16,0.0022222222222222222,0.0,-0.0011111111111111111,-14.5,-5.25,-47.5,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146667.980734,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.01,0.02,-0.18,0.0,-0.0022222222222222222,0.0011111111111111111,-13.375,-4.875,-46.25,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146668.022592,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.17,0.0,0.0011111111111111111,-0.0011111111111111111,-13.375,-4.875,-46.25,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146668.06356,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.0,-0.17,0.0022222222222222222,-0.0011111111111111111,0.0,-14.5,-5.5625,-45.0625,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146668.102938,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.04,-0.15,0.0,-0.0011111111111111111,0.0011111111111111111,-14.5,-5.5625,-46.25,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146668.141412,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.02,-0.16,-0.0011111111111111111,0.0011111111111111111,0.0,-15.5625,-5.5625,-45.875,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146668.181575,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.0,0.03,-0.16,0.0,0.0022222222222222222,0.0011111111111111111,-14.5,-5.5625,-46.6875,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
1563146668.223772,0.0,-0.375,5.6875,-0.06,-0.97,9.75,0.02,0.02,-0.15,0.0,0.0011111111111111111,-0.0011111111111111111,-14.5,-5.5625,-46.6875,29,-0.0499267578125,0.0035400390625,0.0,0.99871826171875,0.0,-0.375,5.6875
